"Item Group Code","Item Group","Item Code","Item","Factor","CPC Code","HS Code","HS07 Code","HS12 Code"
"1714","Crops Primary","515","Apples","1","01341","","080810","080810"
"QC","Crops Primary","515","Apples","1","01341","","080810","080810"
"1714","Crops Primary","526","Apricots","1","01343","","080910","080910"
"QC","Crops Primary","526","Apricots","1","01343","","080910","080910"
"1714","Crops Primary","226","Areca nuts","1","01379.01","","080290","080280"
"QC","Crops Primary","226","Areca nuts","1","01379.01","","080290","080280"
"1714","Crops Primary","366","Artichokes","1","01216","","070990","070991"
"QC","Crops Primary","366","Artichokes","1","01216","","070990","070991"
"1714","Crops Primary","367","Asparagus","1","01211","","070920","070920"
"QC","Crops Primary","367","Asparagus","1","01211","","070920","070920"
"1714","Crops Primary","572","Avocados","1","01311","","080440","080440"
"QC","Crops Primary","572","Avocados","1","01311","","080440","080440"
"1714","Crops Primary","839","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","1","03211","","400130","400130"
"QC","Crops Primary","839","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","1","03211","","400130","400130"
"1714","Crops Primary","203","Bambara beans, dry","1","01708","","071339","071334"
"QC","Crops Primary","203","Bambara beans, dry","1","01708","","071339","071334"
"1714","Crops Primary","486","Bananas","1","01312","","080300","080390"
"QC","Crops Primary","486","Bananas","1","01312","","080300","080390"
"1714","Crops Primary","44","Barley","1","0115","","100300","100310, 100390"
"QC","Crops Primary","44","Barley","1","0115","","100300","100310, 100390"
"1714","Crops Primary","176","Beans, dry","1","01701","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339"
"QC","Crops Primary","176","Beans, dry","1","01701","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339"
"1714","Crops Primary","552","Blueberries","1","01355.01","","081040","081040"
"QC","Crops Primary","552","Blueberries","1","01355.01","","081040","081040"
"1714","Crops Primary","216","Brazil nuts, in shell","1","01377","","080121","080121"
"QC","Crops Primary","216","Brazil nuts, in shell","1","01377","","080121","080121"
"1714","Crops Primary","181","Broad beans and horse beans, dry","1","01702","","071350","071350"
"QC","Crops Primary","181","Broad beans and horse beans, dry","1","01702","","071350","071350"
"1714","Crops Primary","420","Broad beans and horse beans, green","1","01243","","070890","070890"
"QC","Crops Primary","420","Broad beans and horse beans, green","1","01243","","070890","070890"
"1714","Crops Primary","89","Buckwheat","1","01192","","100810","100810"
"QC","Crops Primary","89","Buckwheat","1","01192","","100810","100810"
"1714","Crops Primary","358","Cabbages","1","01212","","070420, 070490","070420, 070490"
"QC","Crops Primary","358","Cabbages","1","01212","","070420, 070490","070420, 070490"
"1714","Crops Primary","101","Canary seed","1","01195","","100830","100830"
"QC","Crops Primary","101","Canary seed","1","01195","","100830","100830"
"1714","Crops Primary","568","Cantaloupes and other melons","1","01229","","080719","080719"
"QC","Crops Primary","568","Cantaloupes and other melons","1","01229","","080719","080719"
"1714","Crops Primary","426","Carrots and turnips","1","01251","","070610","070610"
"QC","Crops Primary","426","Carrots and turnips","1","01251","","070610","070610"
"1714","Crops Primary","217","Cashew nuts, in shell","1","01372","","080131","080131"
"QC","Crops Primary","217","Cashew nuts, in shell","1","01372","","080131","080131"
"1714","Crops Primary","591","Cashewapple","1","01359.02","","081090","081090"
"QC","Crops Primary","591","Cashewapple","1","01359.02","","081090","081090"
"QC","Crops Primary","378","Cassava leaves","1","01219.01","","070990","070999"
"1714","Crops Primary","125","Cassava, fresh","1","01520.01","","071410","071410"
"QC","Crops Primary","125","Cassava, fresh","1","01520.01","","071410","071410"
"1714","Crops Primary","265","Castor oil seeds","1","01447","","120799","120730"
"QC","Crops Primary","265","Castor oil seeds","1","01447","","120799","120730"
"1714","Crops Primary","393","Cauliflowers and broccoli","1","01213","","070410","070410"
"QC","Crops Primary","393","Cauliflowers and broccoli","1","01213","","070410","070410"
"1714","Crops Primary","108","Cereals n.e.c.","1","01199.90","","100890","100890"
"QC","Crops Primary","108","Cereals n.e.c.","1","01199.90","","100890","100890"
"QC","Crops Primary","1717","Cereals, Total","1","F1717","","",""
"1714","Crops Primary","531","Cherries","1","01344.02","","080920","080929"
"QC","Crops Primary","531","Cherries","1","01344.02","","080920","080929"
"1714","Crops Primary","220","Chestnuts, in shell","1","01373","","080240","080241, 080242"
"QC","Crops Primary","220","Chestnuts, in shell","1","01373","","080240","080241, 080242"
"1714","Crops Primary","191","Chick peas, dry","1","01703","","071320","071320"
"QC","Crops Primary","191","Chick peas, dry","1","01703","","071320","071320"
"1714","Crops Primary","459","Chicory roots","1","01691","","121299","121294"
"QC","Crops Primary","459","Chicory roots","1","01691","","121299","121294"
"1714","Crops Primary","689","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","1","01652","","090420","090421, 090422"
"QC","Crops Primary","689","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","1","01652","","090420","090421, 090422"
"1714","Crops Primary","401","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","1","01231","","070960","070960"
"QC","Crops Primary","401","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","1","01231","","070960","070960"
"1714","Crops Primary","693","Cinnamon and cinnamon-tree flowers, raw","1","01655","","090611, 090619, 090620","090611, 090619, 090620"
"QC","Crops Primary","693","Cinnamon and cinnamon-tree flowers, raw","1","01655","","090611, 090619, 090620","090611, 090619, 090620"
"QC","Crops Primary","1804","Citrus Fruit, Total","1","F1804","","",""
"1714","Crops Primary","698","Cloves (whole stems), raw","1","01656","","090700","090710, 090720"
"QC","Crops Primary","698","Cloves (whole stems), raw","1","01656","","090700","090710, 090720"
"1714","Crops Primary","661","Cocoa beans","1","01640","","180100","180100"
"QC","Crops Primary","661","Cocoa beans","1","01640","","180100","180100"
"1714","Crops Primary","249","Coconuts, in shell","1","01460","","080119","080112, 080119"
"QC","Crops Primary","249","Coconuts, in shell","1","01460","","080119","080112, 080119"
"1714","Crops Primary","656","Coffee, green","1","01610","","090111","090111"
"QC","Crops Primary","656","Coffee, green","1","01610","","090111","090111"
"QC","Crops Primary","813","Coir, raw","1","01929.08","","530500","530500"
"1714","Crops Primary","195","Cow peas, dry","1","01706","","071339","071335"
"QC","Crops Primary","195","Cow peas, dry","1","01706","","071339","071335"
"1714","Crops Primary","554","Cranberries","1","01355.02","","081040","081040"
"QC","Crops Primary","554","Cranberries","1","01355.02","","081040","081040"
"1714","Crops Primary","397","Cucumbers and gherkins","1","01232","","070700","070700"
"QC","Crops Primary","397","Cucumbers and gherkins","1","01232","","070700","070700"
"1714","Crops Primary","550","Currants","1","01351.01","","081090","081030"
"QC","Crops Primary","550","Currants","1","01351.01","","081090","081030"
"1714","Crops Primary","577","Dates","1","01314","","080410","080410"
"QC","Crops Primary","577","Dates","1","01314","","080410","080410"
"1714","Crops Primary","149","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","1","01599.10","","071490","071490"
"QC","Crops Primary","149","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","1","01599.10","","071490","071490"
"1714","Crops Primary","399","Eggplants (aubergines)","1","01233","","070930","070930"
"QC","Crops Primary","399","Eggplants (aubergines)","1","01233","","070930","070930"
"1714","Crops Primary","569","Figs","1","01315","","080420","080420"
"QC","Crops Primary","569","Figs","1","01315","","080420","080420"
"1714","Crops Primary","773","Flax, processed but not spun","1","26190.01","","530121, 530129","530121, 530129"
"QC","Crops Primary","773","Flax, processed but not spun","1","26190.01","","530121, 530129","530121, 530129"
"1714","Crops Primary","94","Fonio","1","01193","","100890","100840"
"QC","Crops Primary","94","Fonio","1","01193","","100890","100840"
"QC","Crops Primary","1738","Fruit Primary","1","F1738","","",""
"1714","Crops Primary","720","Ginger, raw","1","01657","","091010","091011, 091012"
"QC","Crops Primary","720","Ginger, raw","1","01657","","091010","091011, 091012"
"1714","Crops Primary","549","Gooseberries","1","01351.02","","081090","081030"
"QC","Crops Primary","549","Gooseberries","1","01351.02","","081090","081030"
"1714","Crops Primary","560","Grapes","1","01330","","080610","080610"
"QC","Crops Primary","560","Grapes","1","01330","","080610","080610"
"1714","Crops Primary","446","Green corn (maize)","1","01290.01","","070990","070999"
"QC","Crops Primary","446","Green corn (maize)","1","01290.01","","070990","070999"
"1714","Crops Primary","406","Green garlic","1","01252","","070320","070320"
"QC","Crops Primary","406","Green garlic","1","01252","","070320","070320"
"1714","Crops Primary","242","Groundnuts, excluding shelled","1","0142","","120210, 120220","120230, 120241"
"QC","Crops Primary","242","Groundnuts, excluding shelled","1","0142","","120210, 120220","120230, 120241"
"1714","Crops Primary","225","Hazelnuts, in shell","1","01374","","080221","080221"
"QC","Crops Primary","225","Hazelnuts, in shell","1","01374","","080221","080221"
"1714","Crops Primary","336","Hempseed","1","01449.02","","120799","120799"
"QC","Crops Primary","336","Hempseed","1","01449.02","","120799","120799"
"1714","Crops Primary","677","Hop cones","1","01659","","121010, 121020","121010, 121020"
"QC","Crops Primary","677","Hop cones","1","01659","","121010, 121020","121010, 121020"
"1714","Crops Primary","277","Jojoba seeds","1","01499.03","","120799","120799"
"QC","Crops Primary","277","Jojoba seeds","1","01499.03","","120799","120799"
"1714","Crops Primary","780","Jute, raw or retted","1","01922.01","","530310, 530390","530310, 530390"
"QC","Crops Primary","780","Jute, raw or retted","1","01922.01","","530310, 530390","530310, 530390"
"1714","Crops Primary","310","Kapok fruit","1","01499.05","","120799","120799"
"QC","Crops Primary","310","Kapok fruit","1","01499.05","","120799","120799"
"1714","Crops Primary","263","Karite nuts (sheanuts)","1","01499.01","","120799","120799"
"QC","Crops Primary","263","Karite nuts (sheanuts)","1","01499.01","","120799","120799"
"1714","Crops Primary","782","Kenaf, and other textile bast fibres, raw or retted","1","01922.02","","530310, 530390","530310, 530390"
"QC","Crops Primary","782","Kenaf, and other textile bast fibres, raw or retted","1","01922.02","","530310, 530390","530310, 530390"
"1714","Crops Primary","592","Kiwi fruit","1","01352","","081050","081050"
"QC","Crops Primary","592","Kiwi fruit","1","01352","","081050","081050"
"1714","Crops Primary","224","Kola nuts","1","01379.02","","080290","080270"
"QC","Crops Primary","224","Kola nuts","1","01379.02","","080290","080270"
"1714","Crops Primary","407","Leeks and other alliaceous vegetables","1","01254","","070390","070390"
"QC","Crops Primary","407","Leeks and other alliaceous vegetables","1","01254","","070390","070390"
"1714","Crops Primary","497","Lemons and limes","1","01322","","080550","080550"
"QC","Crops Primary","497","Lemons and limes","1","01322","","080550","080550"
"1714","Crops Primary","201","Lentils, dry","1","01704","","071340","071340"
"QC","Crops Primary","201","Lentils, dry","1","01704","","071340","071340"
"1714","Crops Primary","372","Lettuce and chicory","1","01214","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529"
"QC","Crops Primary","372","Lettuce and chicory","1","01214","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529"
"1714","Crops Primary","333","Linseed","1","01441","","120400","120400"
"QC","Crops Primary","333","Linseed","1","01441","","120400","120400"
"1714","Crops Primary","461","Locust beans (carobs)","1","01356","","121299","121292"
"QC","Crops Primary","461","Locust beans (carobs)","1","01356","","121299","121292"
"1714","Crops Primary","210","Lupins","1","01709.02","","121490","121490"
"QC","Crops Primary","210","Lupins","1","01709.02","","121490","121490"
"1714","Crops Primary","56","Maize (corn)","1","0112","","100510, 100590","100510, 100590"
"QC","Crops Primary","56","Maize (corn)","1","0112","","100510, 100590","100510, 100590"
"1714","Crops Primary","571","Mangoes, guavas and mangosteens","1","01316","","080450","080450"
"QC","Crops Primary","571","Mangoes, guavas and mangosteens","1","01316","","080450","080450"
"1714","Crops Primary","671","Maté leaves","1","01630","","090300","090300"
"QC","Crops Primary","671","Maté leaves","1","01630","","090300","090300"
"1714","Crops Primary","299","Melonseed","1","01449.01","","120799","120770"
"QC","Crops Primary","299","Melonseed","1","01449.01","","120799","120770"
"1714","Crops Primary","79","Millet","1","0118","","100820","100821, 100829"
"QC","Crops Primary","79","Millet","1","0118","","100820","100821, 100829"
"1714","Crops Primary","103","Mixed grain","1","01199.02","","100890","100890"
"QC","Crops Primary","103","Mixed grain","1","01199.02","","100890","100890"
"1714","Crops Primary","449","Mushrooms and truffles","1","01270","","070951, 070959","070951, 070959"
"QC","Crops Primary","449","Mushrooms and truffles","1","01270","","070951, 070959","070951, 070959"
"1714","Crops Primary","292","Mustard seed","1","01442","","120750","120750"
"QC","Crops Primary","292","Mustard seed","1","01442","","120750","120750"
"1714","Crops Primary","836","Natural rubber in primary forms","1","01950.01","","400110","400110"
"QC","Crops Primary","836","Natural rubber in primary forms","1","01950.01","","400110","400110"
"1714","Crops Primary","702","Nutmeg, mace, cardamoms, raw","1","01653","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832"
"QC","Crops Primary","702","Nutmeg, mace, cardamoms, raw","1","01653","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832"
"1714","Crops Primary","75","Oats","1","0117","","100400","100410, 100490"
"QC","Crops Primary","75","Oats","1","0117","","100400","100410, 100490"
"1714","Crops Primary","254","Oil palm fruit","1","01491.01","","120799","120710"
"QC","Crops Primary","254","Oil palm fruit","1","01491.01","","120799","120710"
"QC","Crops Primary","1841","Oilcrops, Cake Equivalent","1","F1841","","",""
"QC","Crops Primary","1732","Oilcrops, Oil Equivalent","1","F1732","","",""
"1714","Crops Primary","430","Okra","1","01239.01","","070990","070999"
"QC","Crops Primary","430","Okra","1","01239.01","","070990","070999"
"1714","Crops Primary","260","Olives","1","01450","","070990","070992"
"QC","Crops Primary","260","Olives","1","01450","","070990","070992"
"1714","Crops Primary","403","Onions and shallots, dry (excluding dehydrated)","1","01253.02","","070310","070310"
"QC","Crops Primary","403","Onions and shallots, dry (excluding dehydrated)","1","01253.02","","070310","070310"
"1714","Crops Primary","402","Onions and shallots, green","1","01253.01","","070310","070310"
"QC","Crops Primary","402","Onions and shallots, green","1","01253.01","","070310","070310"
"1714","Crops Primary","490","Oranges","1","01323","","080510","080510"
"QC","Crops Primary","490","Oranges","1","01323","","080510","080510"
"1714","Crops Primary","414","Other beans, green","1","01241.90","","070820","070820"
"QC","Crops Primary","414","Other beans, green","1","01241.90","","070820","070820"
"1714","Crops Primary","558","Other berries and fruits of the genus vaccinium n.e.c.","1","01355.90","","081020, 081040","081020, 081040"
"QC","Crops Primary","558","Other berries and fruits of the genus vaccinium n.e.c.","1","01355.90","","081020, 081040","081020, 081040"
"1714","Crops Primary","512","Other citrus fruit, n.e.c.","1","01329","","080590","080590"
"QC","Crops Primary","512","Other citrus fruit, n.e.c.","1","01329","","080590","080590"
"1714","Crops Primary","821","Other fibre crops, raw, n.e.c.","1","01929.90","","530500","530500"
"QC","Crops Primary","821","Other fibre crops, raw, n.e.c.","1","01929.90","","530500","530500"
"1714","Crops Primary","619","Other fruits, n.e.c.","1","01359.90","","081090","081090"
"QC","Crops Primary","619","Other fruits, n.e.c.","1","01359.90","","081090","081090"
"1714","Crops Primary","234","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","1","01379.90","","080260, 080290","080261, 080262, 080290"
"QC","Crops Primary","234","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","1","01379.90","","080260, 080290","080261, 080262, 080290"
"1714","Crops Primary","339","Other oil seeds, n.e.c.","1","01449.90","","120799","120799"
"QC","Crops Primary","339","Other oil seeds, n.e.c.","1","01449.90","","120799","120799"
"1714","Crops Primary","542","Other pome fruits","1","01349.10","","081090","081090"
"QC","Crops Primary","542","Other pome fruits","1","01349.10","","081090","081090"
"1714","Crops Primary","211","Other pulses n.e.c.","1","01709.90","","071390","071390"
"QC","Crops Primary","211","Other pulses n.e.c.","1","01709.90","","071390","071390"
"1714","Crops Primary","723","Other stimulant, spice and aromatic crops, n.e.c.","1","01699","","091020, 091030, 091091, 091099","091020, 091030, 091091, 091099"
"QC","Crops Primary","723","Other stimulant, spice and aromatic crops, n.e.c.","1","01699","","091020, 091030, 091091, 091099","091020, 091030, 091091, 091099"
"1714","Crops Primary","541","Other stone fruits","1","01349.20","","081090","081090"
"QC","Crops Primary","541","Other stone fruits","1","01349.20","","081090","081090"
"1714","Crops Primary","161","Other sugar crops n.e.c.","1","01809","","121299","121299"
"QC","Crops Primary","161","Other sugar crops n.e.c.","1","01809","","121299","121299"
"1714","Crops Primary","603","Other tropical fruits, n.e.c.","1","01319","","080450, 081060, 081090","080450, 081060, 081090"
"QC","Crops Primary","603","Other tropical fruits, n.e.c.","1","01319","","080450, 081060, 081090","080450, 081060, 081090"
"1714","Crops Primary","463","Other vegetables, fresh n.e.c.","1","01290.90","","070690, 070940, 070990","070690, 070940, 070999"
"QC","Crops Primary","463","Other vegetables, fresh n.e.c.","1","01290.90","","070690, 070940, 070990","070690, 070940, 070999"
"1714","Crops Primary","600","Papayas","1","01317","","080720","080720"
"QC","Crops Primary","600","Papayas","1","01317","","080720","080720"
"1714","Crops Primary","534","Peaches and nectarines","1","01345","","080930","080930"
"QC","Crops Primary","534","Peaches and nectarines","1","01345","","080930","080930"
"1714","Crops Primary","521","Pears","1","01342.01","","080820","080830"
"QC","Crops Primary","521","Pears","1","01342.01","","080820","080830"
"1714","Crops Primary","187","Peas, dry","1","01705","","071310","071310"
"QC","Crops Primary","187","Peas, dry","1","01705","","071310","071310"
"1714","Crops Primary","417","Peas, green","1","01242","","070810","070810"
"QC","Crops Primary","417","Peas, green","1","01242","","070810","070810"
"1714","Crops Primary","687","Pepper (Piper spp.), raw","1","01651","","090411, 090412","090411, 090412"
"QC","Crops Primary","687","Pepper (Piper spp.), raw","1","01651","","090411, 090412","090411, 090412"
"1714","Crops Primary","748","Peppermint, spearmint","1","01930.01","","121190","121190"
"QC","Crops Primary","748","Peppermint, spearmint","1","01930.01","","121190","121190"
"1714","Crops Primary","587","Persimmons","1","01359.01","","081090","081070"
"QC","Crops Primary","587","Persimmons","1","01359.01","","081090","081070"
"1714","Crops Primary","197","Pigeon peas, dry","1","01707","","071390","071360"
"QC","Crops Primary","197","Pigeon peas, dry","1","01707","","071390","071360"
"1714","Crops Primary","574","Pineapples","1","01318","","080430","080430"
"QC","Crops Primary","574","Pineapples","1","01318","","080430","080430"
"1714","Crops Primary","223","Pistachios, in shell","1","01375","","080250","080251, 080252"
"QC","Crops Primary","223","Pistachios, in shell","1","01375","","080250","080251, 080252"
"1714","Crops Primary","489","Plantains and cooking bananas","1","01313","","080300","080310"
"QC","Crops Primary","489","Plantains and cooking bananas","1","01313","","080300","080310"
"1714","Crops Primary","536","Plums and sloes","1","01346","","080940","080940"
"QC","Crops Primary","536","Plums and sloes","1","01346","","080940","080940"
"1714","Crops Primary","507","Pomelos and grapefruits","1","01321","","080540","080540"
"QC","Crops Primary","507","Pomelos and grapefruits","1","01321","","080540","080540"
"1714","Crops Primary","296","Poppy seed","1","01448","","120791","120791"
"QC","Crops Primary","296","Poppy seed","1","01448","","120791","120791"
"1714","Crops Primary","116","Potatoes","1","01510","","070110, 070190","070110, 070190"
"QC","Crops Primary","116","Potatoes","1","01510","","070110, 070190","070110, 070190"
"QC","Crops Primary","1726","Pulses, Total","1","F1726","","",""
"1714","Crops Primary","394","Pumpkins, squash and gourds","1","01235","","070990","070993"
"QC","Crops Primary","394","Pumpkins, squash and gourds","1","01235","","070990","070993"
"1714","Crops Primary","754","Pyrethrum, dried flowers","1","01930.02","","121190","121190"
"QC","Crops Primary","754","Pyrethrum, dried flowers","1","01930.02","","121190","121190"
"1714","Crops Primary","523","Quinces","1","01342.02","","080820","080840"
"QC","Crops Primary","523","Quinces","1","01342.02","","080820","080840"
"1714","Crops Primary","92","Quinoa","1","01194","","100890","100850"
"QC","Crops Primary","92","Quinoa","1","01194","","100890","100850"
"1714","Crops Primary","788","Ramie, raw or retted","1","01929.04","","530500","530500"
"QC","Crops Primary","788","Ramie, raw or retted","1","01929.04","","530500","530500"
"1714","Crops Primary","270","Rape or colza seed","1","01443","","120510, 120590","120510, 120590"
"QC","Crops Primary","270","Rape or colza seed","1","01443","","120510, 120590","120510, 120590"
"1714","Crops Primary","547","Raspberries","1","01353.01","","081020","081020"
"QC","Crops Primary","547","Raspberries","1","01353.01","","081020","081020"
"1714","Crops Primary","27","Rice","1","0113","","100610","100610"
"QC","Crops Primary","27","Rice","1","0113","","100610","100610"
"QC","Crops Primary","30","Rice, paddy (rice milled equivalent)","1","F0030","","",""
"QC","Crops Primary","1720","Roots and Tubers, Total","1","F1720","","",""
"1714","Crops Primary","71","Rye","1","0116","","100200","100210, 100290"
"QC","Crops Primary","71","Rye","1","0116","","100200","100210, 100290"
"1714","Crops Primary","280","Safflower seed","1","01446","","120799","120760"
"QC","Crops Primary","280","Safflower seed","1","01446","","120799","120760"
"1714","Crops Primary","328","Seed cotton, unginned","1","01921.01","","520100","520100"
"QC","Crops Primary","328","Seed cotton, unginned","1","01921.01","","520100","520100"
"1714","Crops Primary","289","Sesame seed","1","01444","","120740","120740"
"QC","Crops Primary","289","Sesame seed","1","01444","","120740","120740"
"1714","Crops Primary","789","Sisal, raw","1","01929.05","","530500","530500"
"QC","Crops Primary","789","Sisal, raw","1","01929.05","","530500","530500"
"1714","Crops Primary","83","Sorghum","1","0114","","100700","100710, 100790"
"QC","Crops Primary","83","Sorghum","1","0114","","100700","100710, 100790"
"1714","Crops Primary","530","Sour cherries","1","01344.01","","080920","080921"
"QC","Crops Primary","530","Sour cherries","1","01344.01","","080920","080921"
"1714","Crops Primary","236","Soya beans","1","0141","","120100","120110, 120190"
"QC","Crops Primary","236","Soya beans","1","0141","","120100","120110, 120190"
"1714","Crops Primary","373","Spinach","1","01215","","070970","070970"
"QC","Crops Primary","373","Spinach","1","01215","","070970","070970"
"1714","Crops Primary","544","Strawberries","1","01354","","081010","081010"
"QC","Crops Primary","544","Strawberries","1","01354","","081010","081010"
"1714","Crops Primary","423","String beans","1","01241.01","","070820","070820"
"QC","Crops Primary","423","String beans","1","01241.01","","070820","070820"
"1714","Crops Primary","157","Sugar beet","1","01801","","121291","121291"
"QC","Crops Primary","157","Sugar beet","1","01801","","121291","121291"
"1714","Crops Primary","156","Sugar cane","1","01802","","121299","121293"
"QC","Crops Primary","156","Sugar cane","1","01802","","121299","121293"
"QC","Crops Primary","1723","Sugar Crops Primary","1","F1723","","",""
"1714","Crops Primary","267","Sunflower seed","1","01445","","120600","120600"
"QC","Crops Primary","267","Sunflower seed","1","01445","","120600","120600"
"1714","Crops Primary","122","Sweet potatoes","1","01530","","071420","071420"
"QC","Crops Primary","122","Sweet potatoes","1","01530","","071420","071420"
"1714","Crops Primary","305","Tallowtree seeds","1","01499.04","","120799","120799"
"QC","Crops Primary","305","Tallowtree seeds","1","01499.04","","120799","120799"
"1714","Crops Primary","495","Tangerines, mandarins, clementines","1","01324","","080520","080520"
"QC","Crops Primary","495","Tangerines, mandarins, clementines","1","01324","","080520","080520"
"1714","Crops Primary","136","Taro","1","01550","","071490","071440"
"QC","Crops Primary","136","Taro","1","01550","","071490","071440"
"1714","Crops Primary","667","Tea leaves","1","01620","","090210, 090220, 090230, 090240","090210, 090220, 090230, 090240"
